oligo	actualcounts	mappedcounts
UTR4.oligo43	1538	1538
UTR10.oligo26	1905	1905
UTR6.oligo325	1402	1402
UTR7.oligo38	1793	1793
UTR13.oligo348	1587	1587
UTR7.oligo357	1248	1248
UTR4.oligo23	1790	1790
UTR15.oligo601	1173	1173
UTR7.oligo356	913	913
UTR17.oligo914	582	582
UTR12.oligo444	1599	1599
UTR15.oligo655	1704	1704
UTR15.oligo607	808	808
UTR4.oligo588	725	725
UTR9.oligo536	913	913
UTR7.oligo649	1000	1000
UTR7.oligo352	929	929
UTR8.oligo135	1470	1470
UTR6.oligo237	1061	1061
UTR1.oligo330	1559	1559
UTR16.oligo203	1869	1869
UTR17.oligo819	818	818
UTR4.oligo375	530	530
UTR11.oligo134	787	787
UTR7.oligo218	1853	1853
UTR10.oligo82	1681	1681
UTR17.oligo779	1202	1202
UTR4.oligo9	1571	1571
UTR17.oligo775	1685	1685
UTR4.oligo485	1604	1604
UTR3.oligo8	1458	1458
UTR7.oligo1	1270	1270
UTR12.oligo626	1755	1755
UTR1.oligo152	1633	1633
UTR7.oligo118	1688	1688
UTR12.oligo160	621	621
UTR14.oligo77	294	294
UTR10.oligo118	752	752
UTR17.oligo784	1367	1367
UTR17.oligo514	1453	1453
UTR7.oligo363	1007	1007
UTR14.oligo72	1575	1575
UTR9.oligo154	1618	1618
UTR10.oligo38	1109	1109
UTR6.oligo327	789	789
UTR17.oligo303	1117	1117
UTR14.oligo237	962	962
UTR1.oligo728	1453	1453
UTR15.oligo516	808	808
UTR12.oligo368	1249	1249
UTR6.oligo463	402	402
UTR9.oligo231	1499	1499
UTR12.oligo6	1734	1734
UTR13.oligo460	1611	1611
UTR4.oligo843	1361	1361
UTR4.oligo275	1464	1464
UTR14.oligo174	1564	1564
UTR1.oligo669	928	928
UTR4.oligo68	1759	1759
UTR4.oligo731	1553	1553
UTR4.oligo586	1770	1770
UTR4.oligo455	918	918
UTR10.oligo112	1770	1770
UTR15.oligo738	535	535
UTR16.oligo393	1431	1431
UTR13.oligo16	887	887
UTR16.oligo412	1880	1880
UTR16.oligo677	1807	1807
UTR15.oligo897	609	609
UTR13.oligo306	710	710
UTR6.oligo379	1885	1885
UTR5.oligo72	178	178
UTR3.oligo65	821	821
UTR8.oligo102	1407	1407
UTR3.oligo368	1187	1187
UTR15.oligo941	1558	1558
UTR17.oligo256	1433	1433
UTR9.oligo134	894	894
UTR16.oligo651	1333	1333
UTR4.oligo574	670	670
UTR17.oligo502	1263	1263
UTR8.oligo120	454	454
UTR15.oligo638	1680	1680
UTR12.oligo653	1361	1361
UTR4.oligo576	894	894
UTR14.oligo330	1537	1537
UTR15.oligo282	1614	1614
UTR4.oligo583	1886	1886
UTR17.oligo814	1460	1460
UTR13.oligo504	1722	1722
UTR4.oligo766	765	765
UTR13.oligo104	1709	1709
UTR16.oligo679	845	845
UTR10.oligo244	800	800
UTR1.oligo59	1840	1840
UTR16.oligo561	861	861
UTR5.oligo328	660	660
UTR4.oligo209	882	882
UTR1.oligo261	1909	1909
UTR1.oligo685	1550	1550
UTR16.oligo520	1156	1156
UTR7.oligo679	499	499
UTR6.oligo529	1000	1000
